yyyy,periodQ,PerNo,加班數,出差數A,出差數B,請假數A,請假數B
2014,2014Q1,1,0,8,0,1,0
2014,2014Q1,3,0,0,0,2,0
2014,2014Q1,6,0,2,0,1,0
2014,2014Q1,10,0,2,0,3,0
2014,2014Q1,14,3,1,0,2,0
2014,2014Q1,18,0,0,0,2,0
2014,2014Q1,19,0,1,0,3,0
2014,2014Q1,22,1,1,0,2,0
2014,2014Q1,23,0,1,0,1,0
2014,2014Q1,24,0,1,0,3,0
2014,2014Q1,26,0,3,0,2,0
2014,2014Q1,27,0,2,0,4,0
2014,2014Q1,28,0,1,0,3,0
2014,2014Q1,31,1,0,0,0,0
2014,2014Q1,35,0,4,0,1,0
2014,2014Q1,39,0,0,0,3,0
2014,2014Q1,40,2,2,0,4,0
2014,2014Q1,44,0,0,0,5,0
2014,2014Q1,45,1,2,0,2,0
2014,2014Q1,54,0,0,0,2,0
2014,2014Q1,55,0,1,0,4,0
2014,2014Q1,56,0,0,0,2,0
2014,2014Q1,57,0,1,0,1,0
2014,2014Q1,58,0,0,0,3,0
2014,2014Q1,59,5,3,0,1,0
2014,2014Q1,60,0,0,0,2,0
2014,2014Q1,61,0,1,0,2,0
2014,2014Q1,62,0,1,0,2,0
2014,2014Q1,65,0,2,0,3,0
2014,2014Q1,68,0,1,0,2,0
2014,2014Q1,69,0,4,0,1,0
2014,2014Q1,70,2,1,0,1,0
2014,2014Q1,71,13,7,0,4,0
2014,2014Q1,72,0,1,0,4,0
2014,2014Q1,78,0,1,0,4,0
2014,2014Q1,80,0,6,0,2,0
2014,2014Q1,85,0,2,0,3,0
2014,2014Q1,87,0,2,0,1,0
2014,2014Q1,96,1,1,0,2,0
2014,2014Q1,102,3,2,0,5,0
2014,2014Q1,105,0,1,0,4,0
2014,2014Q1,111,0,1,0,4,0
2014,2014Q1,112,0,5,0,1,0
2014,2014Q1,116,5,2,0,3,0
2014,2014Q1,118,0,4,0,3,0
2014,2014Q1,121,0,1,0,2,0
2014,2014Q1,123,0,0,0,2,0
2014,2014Q1,126,0,2,0,3,0
2014,2014Q1,138,0,2,0,2,0
2014,2014Q1,140,0,0,0,2,0
2014,2014Q1,142,0,0,0,2,0
2014,2014Q1,143,2,1,0,1,0
2014,2014Q1,144,0,0,0,3,0
2014,2014Q1,146,0,1,1,3,0
2014,2014Q1,152,0,1,0,2,0
2014,2014Q1,153,0,1,0,4,0
2014,2014Q1,156,0,1,0,3,0
2014,2014Q1,157,0,1,0,1,0
2014,2014Q1,158,0,2,0,1,0
2014,2014Q1,162,1,1,0,2,0
2014,2014Q1,163,0,1,0,2,0
2014,2014Q1,165,0,1,0,4,0
2014,2014Q1,167,0,2,0,2,0
2014,2014Q1,169,0,0,0,3,0
2014,2014Q1,170,0,2,0,2,0
2014,2014Q1,171,0,3,0,3,0
2014,2014Q1,173,0,3,0,1,0
2014,2014Q1,176,0,0,0,2,0
2014,2014Q1,177,1,3,0,2,0
2014,2014Q1,178,0,0,0,3,0
2014,2014Q1,180,0,0,0,5,0
2014,2014Q1,183,0,1,0,12,0
2014,2014Q1,186,0,1,0,2,0
2014,2014Q1,190,8,0,0,0,0
2014,2014Q1,194,0,0,0,2,0
2014,2014Q1,195,0,0,0,3,0
2014,2014Q1,199,0,0,0,2,0
2014,2014Q1,203,0,1,0,2,0
2014,2014Q1,204,0,1,0,2,0
2014,2014Q1,210,1,3,0,1,0
2014,2014Q1,212,1,1,0,1,0
2014,2014Q1,214,0,0,0,3,0
2014,2014Q1,215,1,1,0,7,0
2014,2014Q1,220,1,2,0,1,0
2014,2014Q1,228,0,1,0,1,0
2014,2014Q1,229,0,1,0,3,0
2014,2014Q1,230,0,1,2,2,0
2014,2014Q1,232,0,1,0,2,0
2014,2014Q1,234,0,1,0,3,0
2014,2014Q1,235,0,4,0,1,0
2014,2014Q1,241,0,2,0,0,0
2014,2014Q1,245,1,0,0,3,0
2014,2014Q1,249,7,2,0,1,0
2014,2014Q1,252,1,1,0,3,0
2014,2014Q1,262,0,1,0,1,0
2014,2014Q1,266,1,4,0,1,0
2014,2014Q1,269,6,4,0,1,0
2014,2014Q1,271,0,0,0,1,0
2014,2014Q1,273,6,1,0,1,0
2014,2014Q1,275,1,1,0,2,0
2014,2014Q1,276,8,0,0,2,0
2014,2014Q1,279,0,1,0,2,0
2014,2014Q1,281,0,0,0,3,0
2014,2014Q1,282,0,2,0,1,0
2014,2014Q1,283,0,2,0,1,0
2014,2014Q1,284,2,0,0,1,0
2014,2014Q1,285,0,1,0,2,0
2014,2014Q1,289,0,1,0,1,0
2014,2014Q1,290,0,1,0,2,0
2014,2014Q1,294,0,1,2,1,0
2014,2014Q1,296,1,1,0,1,0
2014,2014Q1,297,0,0,0,2,0
2014,2014Q1,298,1,1,0,2,0
2014,2014Q1,301,1,1,0,1,0
2014,2014Q1,305,0,2,0,1,0
2014,2014Q1,306,2,0,0,4,0
2014,2014Q1,308,0,2,0,2,0
2014,2014Q1,311,1,0,0,1,0
2014,2014Q1,312,0,1,0,1,0
2014,2014Q1,313,1,1,0,2,0
2014,2014Q1,314,0,1,0,4,0
2014,2014Q1,321,0,1,0,3,0
2014,2014Q1,325,1,0,0,5,0
2014,2014Q1,332,3,2,0,1,0
2014,2014Q1,333,0,4,0,1,0
2014,2014Q1,338,0,0,0,1,0
2014,2014Q1,343,0,0,0,3,0
2014,2014Q1,344,0,1,0,2,0
2014,2014Q1,346,0,0,0,1,0
2014,2014Q1,350,2,1,0,1,0
2014,2014Q1,351,0,7,0,3,0
2014,2014Q1,352,0,2,0,2,0
2014,2014Q1,353,0,0,0,4,0
2014,2014Q1,354,0,0,0,3,0
2014,2014Q1,355,0,1,0,4,0
2014,2014Q1,358,0,1,0,2,0
2014,2014Q1,359,1,0,0,3,0
2014,2014Q1,361,1,6,0,4,0
2014,2014Q1,364,0,1,0,2,0
2014,2014Q1,368,0,0,0,2,0
2014,2014Q1,370,0,4,0,4,0
2014,2014Q1,371,0,1,0,1,0
