yyyy,PerNo,PerStatus,sex,工作分類,職等,廠區代碼,管理層級,工作資歷1,工作資歷2,工作資歷3,工作資歷4,工作資歷5,專案時數,專案總數,當前專案角色,特殊專案佔比,工作地點,訓練時數A,訓練時數B,訓練時數C,生產總額,榮譽數,是否升遷,升遷速度,近三月請假數A,近一年請假數A,近三月請假數B,近一年請假數B,出差數A,出差數B,出差集中度,年度績效等級A,年度績效等級B,年度績效等級C,年齡層級,婚姻狀況,年資層級A,年資層級B,年資層級C,任職前工作平均年數,最高學歷,畢業學校類別,畢業科系類別,眷屬量,通勤成本,歸屬部門
2014,1,0,1,1,3,19,4,0,1,1,0,0,23,1,1,3,6,0,0,5,7,1,1,1,3,5,0,0,5,0,9,2,10,4,6,1,2,1,1,2,,,5,0,8,19138
2015,1,0,1,1,3,19,6,0,1,1,0,0,23,2,1,1,6,0,0,8,9,2,0,1,4,6,0,0,3,1,4,2,1,5,7,1,2,2,1,2,,,5,2,8,19138
2016,1,0,1,1,3,19,6,0,1,1,0,0,23,3,5,1,6,2,0,5,10,2,0,1,4,7,0,0,2,1,2,2,1,2,7,1,2,2,1,2,,,5,2,8,19138
2017,1,0,1,1,3,19,6,0,1,1,0,0,23,4,5,5,6,0,0,10,8,2,0,2,5,5,0,0,2,1,1,2,8,5,7,1,2,2,1,2,,,5,2,8,19138
2014,3,0,0,1,4,8,1,0,0,0,0,0,23,4,5,1,6,0,0,1,8,0,0,6,3,6,0,0,0,0,0,6,4,2,9,1,5,5,0,0,2,4,1,2,8,8181
2015,3,0,0,1,4,8,1,0,0,0,0,0,23,3,1,3,6,0,0,1,6,0,0,6,3,6,0,0,0,0,0,6,4,2,10,1,6,6,0,0,2,4,1,2,8,8181
2016,3,0,0,1,4,8,1,0,0,0,0,0,23,3,5,3,6,0,0,1,6,0,0,7,3,7,0,0,1,0,0,6,5,5,10,1,6,6,0,0,2,4,1,2,8,8181
2017,3,0,0,1,4,8,1,0,0,0,0,0,23,2,5,3,6,0,0,1,7,0,0,7,3,7,0,0,1,0,0,6,10,5,10,1,6,6,0,0,2,4,1,2,8,8181
2014,6,0,1,1,7,14,1,0,0,0,0,0,23,2,5,1,9,2,0,2,3,1,0,6,6,6,0,0,2,0,2,1,7,5,11,1,6,4,3,3,2,4,8,1,8,14048
2015,6,0,1,1,7,14,1,0,0,0,0,0,23,1,5,0,9,2,0,0,4,1,0,7,5,6,0,0,1,0,2,1,10,5,11,1,6,5,3,3,2,4,8,1,8,14048
2016,6,0,1,1,7,14,1,0,0,0,0,0,3,1,5,0,9,1,0,0,4,1,0,7,0,10,0,0,1,0,0,1,10,2,11,1,6,5,3,3,2,4,8,1,8,14048
2017,7,0,0,1,4,4,1,0,0,0,0,0,23,2,1,3,6,0,0,2,10,2,0,1,1,7,0,0,1,1,1,1,1,4,3,2,1,1,0,0,,,5,0,10,4045
2014,10,0,1,1,3,8,6,0,0,0,0,0,23,4,1,3,6,0,1,1,15,0,0,2,2,6,0,0,2,1,1,4,1,5,12,1,6,4,4,2,2,,8,0,8,8157
2015,10,0,1,1,3,8,6,0,0,0,0,0,23,2,1,1,6,0,0,1,12,0,0,2,2,6,0,0,2,1,2,4,1,5,12,1,7,4,4,2,2,,8,0,8,8157
2016,10,0,1,1,3,8,6,0,0,0,0,0,23,3,1,1,6,0,0,1,13,0,0,2,3,6,0,0,3,1,2,4,1,5,13,1,7,5,4,2,2,,8,0,8,8157
2015,11,0,1,1,7,20,1,0,0,0,0,1,23,2,5,0,6,0,0,2,4,0,0,1,2,6,0,0,3,0,3,5,6,2,2,2,1,1,0,0,2,4,5,0,8,20208
2016,11,0,1,1,7,20,1,0,0,0,0,1,23,2,5,0,6,3,0,0,4,0,0,1,3,5,0,0,1,0,0,5,2,2,2,2,1,1,0,0,2,4,5,0,8,20208
2017,11,1,1,1,7,20,1,0,0,0,0,1,22,2,5,0,6,3,0,1,3,0,0,2,4,7,0,0,1,0,0,5,5,2,3,2,1,1,0,0,2,4,5,0,8,20208
2014,14,0,1,1,7,4,1,0,0,0,0,1,24,1,5,0,6,0,0,0,4,0,0,1,4,6,0,0,1,0,2,5,2,2,2,2,1,1,0,0,2,4,5,0,8,4045
2015,14,0,1,1,7,4,1,0,0,0,0,1,23,2,5,1,6,2,0,1,8,0,0,1,2,5,0,0,1,0,1,5,10,4,2,2,1,1,0,0,2,4,5,0,8,4045
2016,14,1,1,1,7,4,1,0,0,0,0,1,23,2,5,1,6,0,1,0,10,0,0,2,2,8,0,0,1,1,0,5,1,4,3,2,1,1,0,0,2,4,5,0,8,4045
2017,15,0,0,1,4,2,4,0,0,0,0,0,16,4,5,3,5,0,0,1,1,1,0,1,1,5,0,0,1,1,0,5,1,4,9,1,3,1,4,2,,4,8,2,9,2177
2017,16,0,0,1,4,17,1,0,0,0,0,0,21,1,1,0,6,1,0,4,5,0,1,1,2,9,1,1,3,0,9,10,1,5,6,1,2,1,3,1,2,3,3,1,8,17041
2014,18,0,1,2,4,16,1,0,0,0,0,0,22,1,5,0,5,0,0,1,0,1,0,3,5,8,0,0,0,0,0,2,5,2,10,1,6,3,5,0,,3,1,1,9,16070
2015,18,0,1,2,4,16,1,0,0,0,0,0,22,1,5,0,5,0,0,1,0,0,0,3,2,8,0,0,0,0,0,2,7,2,11,1,6,3,5,0,,3,1,1,9,16070
2016,18,0,1,2,4,16,1,0,0,0,0,0,22,2,5,0,5,0,0,1,0,0,0,4,4,9,0,0,0,0,0,2,8,2,11,1,6,3,5,0,,3,1,1,9,16070
2017,18,0,1,2,4,16,1,0,0,0,0,0,22,1,5,0,5,0,0,1,0,0,0,4,5,10,0,0,0,0,0,2,8,2,11,1,6,3,5,0,,3,1,1,9,16070
2014,19,0,0,1,7,13,1,0,0,0,0,0,23,1,5,0,6,0,0,1,8,0,0,1,1,8,0,0,2,0,2,5,8,5,3,1,2,1,1,1,2,4,7,0,8,13147
2015,19,0,0,1,7,13,1,1,0,0,0,0,4,1,5,0,6,0,0,1,6,0,0,2,0,3,0,0,0,0,0,5,5,2,4,1,2,1,1,1,2,4,7,0,8,13147
2016,19,0,0,1,7,13,1,1,0,0,0,0,13,1,5,0,6,0,0,2,3,0,0,2,6,7,0,0,1,0,2,10,2,2,4,1,2,1,1,1,2,4,7,0,8,13147
2017,19,0,0,1,7,13,1,1,0,0,0,0,22,2,1,0,6,0,0,2,1,0,0,2,4,10,0,0,2,0,3,10,8,5,4,1,2,2,1,1,2,4,7,1,8,13147
2014,22,0,1,1,1,8,1,0,0,0,0,0,23,3,5,1,6,0,0,1,2,0,0,3,5,6,0,0,1,0,0,5,7,2,9,1,6,4,3,0,3,3,3,0,8,8126
2015,22,0,1,1,1,8,1,0,0,0,0,0,23,2,5,1,6,0,0,1,1,0,0,3,3,6,0,0,0,0,0,5,7,2,9,1,6,5,3,0,3,3,3,0,8,8126
2016,22,0,1,1,1,8,1,0,0,0,0,0,23,2,5,0,6,0,0,1,1,0,0,4,4,6,0,0,0,0,0,5,7,2,10,1,6,5,3,0,3,3,3,0,8,8126
2017,22,0,1,1,1,8,1,0,0,0,0,0,24,2,5,5,6,0,0,1,1,1,0,4,2,4,0,0,0,0,0,5,8,2,10,1,6,5,3,0,3,3,3,0,8,8126
2014,23,0,1,1,4,14,1,0,0,0,0,0,20,2,1,0,6,0,0,12,7,0,0,2,4,6,0,0,1,0,0,1,8,2,6,1,2,2,0,0,,4,3,2,8,14105
2015,23,0,1,1,4,14,1,0,0,0,0,0,23,1,1,0,6,0,0,4,6,0,0,3,3,7,0,0,2,0,2,1,7,2,7,1,2,2,0,0,,4,3,2,6,14105
2016,23,0,1,1,4,14,1,0,0,0,0,0,22,2,1,4,6,0,0,2,3,0,0,3,2,9,0,0,1,0,1,1,4,2,7,1,2,2,0,0,,4,3,2,6,14105
2017,23,0,1,1,4,14,1,0,0,0,0,0,23,2,5,5,6,0,0,3,3,0,0,3,0,6,0,0,3,0,2,1,4,2,7,1,2,2,0,0,,4,3,2,6,14105
2014,24,0,1,1,3,8,1,0,0,0,0,0,23,1,5,0,6,0,0,1,14,1,0,2,2,8,0,0,1,0,0,7,9,4,10,1,6,6,0,0,2,4,8,2,8,8038
